Aar;Mnd;Dag;Time;Ukedag;PrisOre
2020;1;8;16;3;29.89
2020;1;8;17;3;29.68
2020;1;8;18;3;29.69
2020;1;8;19;3;29.70
2020;1;8;20;3;29.37
2020;1;8;21;3;29.08
2020;1;8;22;3;28.23
2020;1;8;23;3;26.10
2020;1;9;0;4;23.02
2020;1;9;1;4;22.09
2020;1;9;2;4;21.47
2020;1;9;3;4;22.65
2020;1;9;4;4;25.07
2020;1;9;5;4;26.75
2020;1;9;6;4;27.80
2020;1;9;7;4;28.09
2020;1;9;8;4;28.32
2020;1;9;9;4;28.52
2020;1;9;10;4;28.63
2020;1;9;11;4;28.70
2020;1;9;12;4;28.90
2020;1;9;13;4;28.97
2020;1;9;14;4;29.15
2020;1;9;15;4;29.30
2020;1;9;16;4;29.39
2020;1;9;17;4;29.37
2020;1;9;18;4;29.39
2020;1;9;19;4;29.42
2020;1;9;20;4;29.41
2020;1;9;21;4;29.60
2020;1;9;22;4;28.90
2020;1;9;23;4;28.38
2020;1;10;0;5;28.01
2020;1;10;1;5;27.88
2020;1;10;2;5;27.73
2020;1;10;3;5;27.82
2020;1;10;4;5;28.15
2020;1;10;5;5;28.96
2020;1;10;6;5;28.43
2020;1;10;7;5;28.23
2020;1;10;8;5;28.39
2020;1;10;9;5;28.42
2020;1;10;10;5;28.41
2020;1;10;11;5;28.42
2020;1;10;12;5;28.43
2020;1;10;13;5;28.42
2020;1;10;14;5;28.40
2020;1;10;15;5;28.39
2020;1;10;16;5;28.25
2020;1;10;17;5;28.09
2020;1;10;18;5;28.55
2020;1;10;19;5;28.48
2020;1;10;20;5;28.43
2020;1;10;21;5;28.64
2020;1;10;22;5;28.39
2020;1;10;23;5;27.81
2020;1;11;0;6;28.51
2020;1;11;1;6;27.96
2020;1;11;2;6;27.74
2020;1;11;3;6;27.52
2020;1;11;4;6;27.30
2020;1;11;5;6;27.21
2020;1;11;6;6;27.13
2020;1;11;7;6;27.30
2020;1;11;8;6;27.58
2020;1;11;9;6;27.79
2020;1;11;10;6;27.78
2020;1;11;11;6;27.44
2020;1;11;12;6;27.07
2020;1;11;13;6;26.87
2020;1;11;14;6;26.72
2020;1;11;15;6;27.05
2020;1;11;16;6;27.45
2020;1;11;17;6;27.56
2020;1;11;18;6;27.31
2020;1;11;19;6;26.63
2020;1;11;20;6;25.91
2020;1;11;21;6;24.89
2020;1;11;22;6;22.92
2020;1;11;23;6;20.75
2020;1;12;0;7;21.61
2020;1;12;1;7;20.81
2020;1;12;2;7;19.73
2020;1;12;3;7;19.71
2020;1;12;4;7;19.52
2020;1;12;5;7;20.05
2020;1;12;6;7;19.33
2020;1;12;7;7;19.58
2020;1;12;8;7;23.75
2020;1;12;9;7;25.71
2020;1;12;10;7;26.04
2020;1;12;11;7;26.69
2020;1;12;12;7;26.27
2020;1;12;13;7;26.23
2020;1;12;14;7;26.80
2020;1;12;15;7;27.15
2020;1;12;16;7;27.60
2020;1;12;17;7;28.48
2020;1;12;18;7;28.66
2020;1;12;19;7;28.11
2020;1;12;20;7;27.53
2020;1;12;21;7;27.43
2020;1;12;22;7;27.38
2020;1;12;23;7;26.08
2020;1;13;0;1;24.20
2020;1;13;1;1;25.69
2020;1;13;2;1;25.75
2020;1;13;3;1;26.07
2020;1;13;4;1;26.87
2020;1;13;5;1;27.93
2020;1;13;6;1;27.60
2020;1;13;7;1;27.43
2020;1;13;8;1;27.52
2020;1;13;9;1;27.58
2020;1;13;10;1;27.62
2020;1;13;11;1;27.48
2020;1;13;12;1;27.43
2020;1;13;13;1;27.42
2020;1;13;14;1;27.48
2020;1;13;15;1;27.48
2020;1;13;16;1;27.50
2020;1;13;17;1;27.62
2020;1;13;18;1;27.65
2020;1;13;19;1;27.67
2020;1;13;20;1;27.67
2020;1;13;21;1;27.92
2020;1;13;22;1;27.23
2020;1;13;23;1;25.14
2020;1;14;0;2;23.87
2020;1;14;1;2;19.94
2020;1;14;2;2;19.77
2020;1;14;3;2;19.72
2020;1;14;4;2;19.88
2020;1;14;5;2;21.82
2020;1;14;6;2;26.47
2020;1;14;7;2;27.45
2020;1;14;8;2;27.77
2020;1;14;9;2;27.71
2020;1;14;10;2;27.63
2020;1;14;11;2;27.51
2020;1;14;12;2;27.41
2020;1;14;13;2;27.51
2020;1;14;14;2;27.68
2020;1;14;15;2;27.72
2020;1;14;16;2;27.86
2020;1;14;17;2;27.91
2020;1;14;18;2;27.99
2020;1;14;19;2;27.83
2020;1;14;20;2;26.99
2020;1;14;21;2;25.60
2020;1;14;22;2;23.96
2020;1;14;23;2;20.55
2020;1;15;0;3;20.66
2020;1;15;1;3;20.23
2020;1;15;2;3;20.01
2020;1;15;3;3;19.98
2020;1;15;4;3;20.17
2020;1;15;5;3;20.79
2020;1;15;6;3;26.20
2020;1;15;7;3;26.97
2020;1;15;8;3;27.38
2020;1;15;9;3;27.41
2020;1;15;10;3;27.23
2020;1;15;11;3;26.84
2020;1;15;12;3;26.92
2020;1;15;13;3;26.99
2020;1;15;14;3;27.12
2020;1;15;15;3;27.60
2020;1;15;16;3;27.64
2020;1;15;17;3;27.56
2020;1;15;18;3;27.57
2020;1;15;19;3;27.62
2020;1;15;20;3;27.00
2020;1;15;21;3;26.70
2020;1;15;22;3;25.76
2020;1;15;23;3;24.23
2020;1;16;0;4;23.19
2020;1;16;1;4;22.91
2020;1;16;2;4;23.26
2020;1;16;3;4;23.83
2020;1;16;4;4;24.70
2020;1;16;5;4;25.49
2020;1;16;6;4;26.29
2020;1;16;7;4;26.86
2020;1;16;8;4;27.27
2020;1;16;9;4;27.22
2020;1;16;10;4;27.15
2020;1;16;11;4;27.06
2020;1;16;12;4;26.94
2020;1;16;13;4;26.96
2020;1;16;14;4;27.06
2020;1;16;15;4;27.25
2020;1;16;16;4;27.36
2020;1;16;17;4;27.15
2020;1;16;18;4;26.94
2020;1;16;19;4;26.84
2020;1;16;20;4;26.58
2020;1;16;21;4;26.34
2020;1;16;22;4;25.83
2020;1;16;23;4;24.85
2020;1;17;0;5;24.63
2020;1;17;1;5;24.30
2020;1;17;2;5;23.84
2020;1;17;3;5;24.06
2020;1;17;4;5;24.99
2020;1;17;5;5;25.37
2020;1;17;6;5;26.06
2020;1;17;7;5;26.57
2020;1;17;8;5;26.71
2020;1;17;9;5;26.84
2020;1;17;10;5;26.96
2020;1;17;11;5;26.97
2020;1;17;12;5;26.96
2020;1;17;13;5;26.97
2020;1;17;14;5;26.98
2020;1;17;15;5;27.11
2020;1;17;16;5;27.53
2020;1;17;17;5;27.58
2020;1;17;18;5;27.40
2020;1;17;19;5;27.05
2020;1;17;20;5;26.65
2020;1;17;21;5;26.54
2020;1;17;22;5;26.30
2020;1;17;23;5;25.85
2020;1;18;0;6;23.80
2020;1;18;1;6;24.74
2020;1;18;2;6;23.90
2020;1;18;3;6;24.30
2020;1;18;4;6;24.25
2020;1;18;5;6;24.19
2020;1;18;6;6;23.97
2020;1;18;7;6;24.43
2020;1;18;8;6;24.91
2020;1;18;9;6;25.34
2020;1;18;10;6;25.63
2020;1;18;11;6;25.53
2020;1;18;12;6;25.38
2020;1;18;13;6;25.22
2020;1;18;14;6;25.27
2020;1;18;15;6;25.62
2020;1;18;16;6;25.86
2020;1;18;17;6;26.15
2020;1;18;18;6;25.93
2020;1;18;19;6;25.60
2020;1;18;20;6;25.13
2020;1;18;21;6;24.86
2020;1;18;22;6;24.85
2020;1;18;23;6;24.35
2020;1;19;0;7;23.95
2020;1;19;1;7;23.54
2020;1;19;2;7;23.31
2020;1;19;3;7;23.13
2020;1;19;4;7;23.22
2020;1;19;5;7;23.53
2020;1;19;6;7;23.80
2020;1;19;7;7;23.75
2020;1;19;8;7;24.05
2020;1;19;9;7;24.34
2020;1;19;10;7;24.72
2020;1;19;11;7;24.80
2020;1;19;12;7;24.78
2020;1;19;13;7;24.77
2020;1;19;14;7;24.62
2020;1;19;15;7;25.03
2020;1;19;16;7;25.65
2020;1;19;17;7;25.90
2020;1;19;18;7;25.84
2020;1;19;19;7;25.70
2020;1;19;20;7;25.36
2020;1;19;21;7;25.43
2020;1;19;22;7;25.21
2020;1;19;23;7;24.82
2020;1;20;0;1;24.35
2020;1;20;1;1;24.01
2020;1;20;2;1;23.58
2020;1;20;3;1;23.51
2020;1;20;4;1;23.88
2020;1;20;5;1;24.75
2020;1;20;6;1;24.49
2020;1;20;7;1;24.98
2020;1;20;8;1;25.03
2020;1;20;9;1;25.00
2020;1;20;10;1;25.00
2020;1;20;11;1;24.98
2020;1;20;12;1;25.06
2020;1;20;13;1;25.09
2020;1;20;14;1;25.07
2020;1;20;15;1;25.13
2020;1;20;16;1;25.21
2020;1;20;17;1;25.08
2020;1;20;18;1;25.15
2020;1;20;19;1;24.62
2020;1;20;20;1;23.51
2020;1;20;21;1;22.87
2020;1;20;22;1;21.76
2020;1;20;23;1;19.26
2020;1;21;0;2;19.27
2020;1;21;1;2;19.21
2020;1;21;2;2;18.99
2020;1;21;3;2;19.07
2020;1;21;4;2;20.85
2020;1;21;5;2;21.13
2020;1;21;6;2;22.33
2020;1;21;7;2;23.32
2020;1;21;8;2;23.69
2020;1;21;9;2;23.61
2020;1;21;10;2;23.58
2020;1;21;11;2;23.51
2020;1;21;12;2;23.63
2020;1;21;13;2;23.61
2020;1;21;14;2;23.64
2020;1;21;15;2;23.77
2020;1;21;16;2;23.89
2020;1;21;17;2;23.85
2020;1;21;18;2;23.82
2020;1;21;19;2;23.64
2020;1;21;20;2;22.72
2020;1;21;21;2;22.45
2020;1;21;22;2;21.47
2020;1;21;23;2;20.08
2020;1;22;0;3;16.38
2020;1;22;1;3;15.51
2020;1;22;2;3;14.75
2020;1;22;3;3;16.23
2020;1;22;4;3;18.39
2020;1;22;5;3;21.48
2020;1;22;6;3;22.12
2020;1;22;7;3;22.57
2020;1;22;8;3;22.89
2020;1;22;9;3;22.84
2020;1;22;10;3;22.89
2020;1;22;11;3;23.05
2020;1;22;12;3;23.05
2020;1;22;13;3;23.18
2020;1;22;14;3;23.22
2020;1;22;15;3;23.34
2020;1;22;16;3;23.47
2020;1;22;17;3;23.53
2020;1;22;18;3;23.56
2020;1;22;19;3;23.59
2020;1;22;20;3;23.55
2020;1;22;21;3;23.62
2020;1;22;22;3;23.33
2020;1;22;23;3;22.96
2020;1;23;0;4;22.31
2020;1;23;1;4;22.10
2020;1;23;2;4;21.97
2020;1;23;3;4;22.00
2020;1;23;4;4;22.44
2020;1;23;5;4;22.44
2020;1;23;6;4;22.45
2020;1;23;7;4;22.64
2020;1;23;8;4;22.70
2020;1;23;9;4;22.47
2020;1;23;10;4;22.39
2020;1;23;11;4;22.25
2020;1;23;12;4;22.16
2020;1;23;13;4;22.10
2020;1;23;14;4;22.08
2020;1;23;15;4;22.07
2020;1;23;16;4;22.02
2020;1;23;17;4;22.01
2020;1;23;18;4;21.95
2020;1;23;19;4;21.91
2020;1;23;20;4;21.53
2020;1;23;21;4;21.26
2020;1;23;22;4;19.85
2020;1;23;23;4;18.20
2020;1;24;0;5;17.96
2020;1;24;1;5;18.21
2020;1;24;2;5;17.88
2020;1;24;3;5;18.06
2020;1;24;4;5;19.30
2020;1;24;5;5;20.46
2020;1;24;6;5;21.42
2020;1;24;7;5;22.07
2020;1;24;8;5;22.30
2020;1;24;9;5;22.18
2020;1;24;10;5;22.07
2020;1;24;11;5;21.92
2020;1;24;12;5;21.88
2020;1;24;13;5;21.87
2020;1;24;14;5;21.86
2020;1;24;15;5;21.81
2020;1;24;16;5;21.76
2020;1;24;17;5;21.75
2020;1;24;18;5;21.69
2020;1;24;19;5;21.86
2020;1;24;20;5;21.54
2020;1;24;21;5;21.04
2020;1;24;22;5;20.25
2020;1;24;23;5;18.62
2020;1;25;0;6;20.06
2020;1;25;1;6;20.00
2020;1;25;2;6;20.19
2020;1;25;3;6;20.28
2020;1;25;4;6;20.38
2020;1;25;5;6;20.37
2020;1;25;6;6;20.90
2020;1;25;7;6;21.76
2020;1;25;8;6;22.26
2020;1;25;9;6;22.45
2020;1;25;10;6;22.54
2020;1;25;11;6;22.81
2020;1;25;12;6;22.82
2020;1;25;13;6;22.60
2020;1;25;14;6;22.57
2020;1;25;15;6;22.72
2020;1;25;16;6;23.16
2020;1;25;17;6;23.32
2020;1;25;18;6;23.16
2020;1;25;19;6;22.55
2020;1;25;20;6;22.34
2020;1;25;21;6;22.08
2020;1;25;22;6;21.88
2020;1;25;23;6;21.46
2020;1;26;0;7;20.65
2020;1;26;1;7;20.35
2020;1;26;2;7;19.99
2020;1;26;3;7;19.72
2020;1;26;4;7;20.20
2020;1;26;5;7;20.12
2020;1;26;6;7;20.24
2020;1;26;7;7;20.65
2020;1;26;8;7;21.00
2020;1;26;9;7;21.44
2020;1;26;10;7;21.79
2020;1;26;11;7;21.90
2020;1;26;12;7;21.92
2020;1;26;13;7;21.96
2020;1;26;14;7;22.05
2020;1;26;15;7;22.35
